,Unnamed: 0,Nome da Música,link,album,letra,artista
10,10,Minha Vó Ta Maluca,/mc-carol/minha-vo-ta-maluca.html,,"Minha vó ta maluca(x2) Tanta coisa pra comprar ela comprou uma peruca Minha vó ta maluca(x2)  Deu cento e vinte na peruca Minha vó ta maluca(x2)  Minha Casa no tijolo, minha geladeira pura Minha vó ta maluca (x2)  Rodando de Twister com playboy da Jurujuba Minha vó ta maluca(x2)  Roncando pra caralho fumando maconha na rua Minha vó ta maluca(x2)  Roncando pra caralho fumando maconha na rua Minha vó ta maluca(x2)",MC Carol
11,11,Mulher de Negócios,/mc-carol/mulher-de-negocios.html,,"Sustenta essa parada Vou aí de madrugada De moto, armada, na sua casa Me deixa pelada, de quatro na sala Passando meu corpo na arma Me chama de gorda safada  Tu sabe que eu sou vida loka Prazer, Carol bandida  Suada e excitada Totalmente desarmada Eu te amo, cara Mas não me faz de otária Ela é muito mais bonita É o amor da sua vida Te dou paz, ela te inferniza Ela te explana na pista Sou sua mulher de negócios Eu negocio com os sócios Se tiver que matar Vou defender o que é nosso Eu te enriqueço Tudo tem o seu preço Tu não gosta de mim? Vai pagar de outro jeito  Tu sabe que eu sou vida louca Prazer, Carol bandida  Pra você eu nunca tive valor Sempre usou meu amor Obsessão ao seu favor Mas agora acabou Tu me criou um vazio Um amor doentio Vai doer muito mais em mim Apertar o gatilho  Tu sabe que eu sou vida louca Prazer, Carol bandida",MC Carol
12,12,Não Foi Cabral,/mc-carol/nao-foi-cabral.html,Bandida,Professora me desculpe Mas eu vou falar Esse ano na escola As coisas vão mudar  Nada contra ti Não me leve a mal Quem descobriu o brasil Não foi cabral  Pedro álvares cabral Chegou 22 de abril Depois colonizou Chamando de pau-brasil Ninguém trouxe família Muito menos filho Porque já sabia Que ia matar vários índios  Treze caravelas Trouxe muita morte Um milhão de índio Morreu de tuberculose Falando de sofrimento Dos tupis e guaranis Lembrei do guerreiro Quilombo zumbi  Zumbi dos palmares Vitima de uma emboscada Se não fosse a dandara Eu levava chicotada,MC Carol
13,13,O Amor Acabou,/mc-carol/o-amor-acabou.html,Bandida,"O sol já vai nascer, mete o pé pra sua casa Não comenta com ninguém da noite passada O amor acabou, é melhor tu me esquecer O que aconteceu, não vai mais acontecer Ontem eu tava triste, acabei me embalando Transei contigo pensando no homem que eu amo  [refrão] Puta que pariu Fui botar ele pra chupar Agora o novinho não para de tontiar Puta que pariu Fui botar ele pra chupar Agora o novinho não para de tontiar [ponte] O que eu falei, esquece é só na cama Que eu ia ser sua durante uma semana No terceiro round eu ví crime em você Infelizmente eu não posso me envolver Pô colega tipo... não é nada com você Mas eu sou bandida eu vou fazer você sofrer  [refrão] Puta que pariu Fui botar ele pra chupar Agora o novinho não para de tontiar Puta que pariu Fui botar ele pra chupar Agora o novinho não para de tontiar  [verso] O sol já vai nascer, mete o pé pra sua casa Não comenta com ninguém da noite passada O amor acabou, é melhor tu me esquecer O que aconteceu, não vai mais acontecer Ontem eu tava triste, acabei me embalando Transei contigo pensando no homem que eu amo  [refrão] Puta que pariu Fui botar ele pra chupar Agora o novinho não para de tontiar Puta que pariu Fui botar ele pra chupar Agora o novinho não para de tontiar Puta que pariu Fui botar ele pra chupar Agora o novinho não para de tontiar",MC Carol
14,14,Prazer Amante do Seu Marido,/mc-carol/prazer-amante-do-seu-marido.html,Bandida,"Você vive se gabando falando que ele é só seu Metade pra baixo, ele também é meu Ele ria da tua cara enquanto você ligava 7 hora da manhã, seu marido me chupava Nunca te deu valor, nem nunca vai te dar Homem gosta de mulher que gosta de esculachar  [Refrão] Tu é chifruda Tu é uma corna Aprende uma coisa Peixe morre pela boca Tu é chifruda Tu é uma corna Aprende uma coisa Peixe morre [Pós-Refrão] Sentar na pica dele foi delicioso Enquanto tu chorava a gente gozava gostoso Prazer eu sou Carol Bandida, amante do seu marido Seu aniversário ele passou comigo Quando eu passar, fica bem calada Eu pego seu marido rindo da tua cara Rindo da tua cara Rindo da tua cara  [Verso] Você vive se gabando falando que ele é só seu Metade pra baixo, ele também é meu Ele ria da tua cara enquanto você ligava 7 hora da manhã, seu marido me chupava Nunca te deu valor, nem nunca vai te dar Homem gosta de mulher que gosta de esculachar  [Refrão] Tu é chifruda Tu é uma corna Aprende uma coisa Peixe morre pela boca Tu é chifruda Tu é uma corna Aprende uma coisa Peixe morre  [Pós-Refrão] Sentar na pica dele foi delicioso Enquanto tu chorava a gente gozava gostoso Prazer eu sou Carol Bandida, amante do seu marido Seu aniversário ele passou comigo Quando eu passar, fica bem calada Eu pego seu marido rindo da tua cara Rindo da tua cara Rindo da tua cara",MC Carol
15,15,Propaganda Enganosa,/mc-carol/propaganda-enganosa.html,Bandida,"Que isso coração? Que isso meu amor? Comecei agora e você já se gozou Que isso coração? Que isso meu amor? Comecei agora e você já se gozou  Sem fofoca, sem caô Sem cutcharra e mimimi Me comeu mal pra caralho Eu gemi pra te iludir Sem fofoca, sem caô Sem cutcharra e mimimi Me comeu mal pra caralho Eu gemi pra te iludir  A piroca não cantou, muito menos era grossa Eu caí legal na propaganda enganosa Corpo lindo pra caralho, as novinha tudo perde Mas borracha fraca, na moral, pra mim não serve Me levou de ralo, pensei que ía ao céu Perdi tempo e dinheiro na porra daquele hotel  Sem fofoca, sem caô Sem cutcharra e mimimi Me comeu mal pra caralho Eu gemi pra te iludir Sem fofoca, sem caô Sem cutcharra e mimimi Me comeu mal pra caralho Eu gemi pra te iludir  (Sem fofoca, sem cutcharra) Sem fofoca, sem caô (Eu só quero te comer) Me comeu mal pra caralho  Que isso coração? Que isso meu amor? Comecei agora e você já se gozou Que isso coração? Que isso meu amor? Comecei agora e você já se gozou  Sem fofoca, sem caô Sem cutcharra e mimimi Me comeu mal pra caralho Eu gemi pra te iludir Sem fofoca, sem caô Sem cutcharra e mimimi Me comeu mal pra caralho Eu gemi pra te iludir  A piroca não cantou, muito menos era grossa Eu caí legal na propaganda enganosa Corpo lindo pra caralho, as novinha tudo perde Mas borracha fraca, na moral, pra mim não serve Me levou de ralo, pensei que ía ao céu Perdi tempo e dinheiro na porra daquele hotel  Sem fofoca, sem caô Sem cutcharra e mimimi Me comeu mal pra caralho Eu gemi pra te iludir Sem fofoca, sem caô Sem cutcharra e mimimi Me comeu mal pra caralho Eu gemi pra te iludir  (Sem fofoca, sem cutcharra) Sem fofoca, sem caô (Eu só quero te comer) Me comeu mal pra caralho",MC Carol
16,16,Vem Cá Novinho,/mc-carol/vem-ca-novinho.html,,"Oh pra fazer a brincadeira você vai ter que zoar, eu sou mc Carol e venho representar mas se tu não tá preparado pode cre ai novinho eu sou mc Carol e chego no sapatinho  vem que vem, vem cá novinho vem que vem, vem cá novinho   Oh pra fazer a brincadeira você vai ter que zoar, eu sou mc Carol e venho representar mas se tu não tá preparado pode crer aí novinho eu sou mc Carol e chego no sapatinho  vem que vem, vem cá novinho vem que vem, vem cá novinho",MC Carol
17,17,Vem Tirar Meu Shorts,/mc-carol/vem-tirar-meu-shorts.html,,"Vem tirar meu shorts Moreno do olho verde Acho que estou com sorte  Vem tirar meu shorts Vem, vem, vem tirar meu shorts Pra ficar com você essa noite eu dou pinote  Vem, vem tirar meu shorts Vem tirar meu shorts Irmão do meu namorado me deixou confusa Me arrastou pra casa dele e tirou a minha blusa  Vem, vem tirar meu shorts Vem tirar meu shorts Novinho daqui do baile você hoje tá com sorte  Vem, vem tirar meu shorts Vem tirar meu shorts Novinho daqui do baile você hoje tá com sorte  Vem, vem tirar meu shorts Vem tirar meu shorts Segurou o meu cabelo rolou um sexo no box  Vem tirar meu shorts Vem tirar meu shorts Vem tirar meu shorts Vem tirar meu shorts Vem tirar meu shorts Vem tirar meu shorts  Vem tirar meu shorts Moreno do olho verde Acho que estou com sorte  Vem tirar meu shorts Vem, vem, vem tirar meu shorts Pra ficar com você essa noite eu dou pinote  Vem, vem tirar meu shorts Vem tirar meu shorts Irmão do meu namorado me deixou confusa Me arrastou pra casa dele e tirou a minha blusa  Vem, vem tirar meu shorts Vem tirar meu shorts Novinho daqui do baile você hoje tá com sorte  Vem, vem tirar meu shorts Vem tirar meu shorts Novinho daqui do baile você hoje tá com sorte  Vem, vem tirar meu shorts Vem tirar meu shorts Segurou o meu cabelo rolou um sexo no box",MC Carol
18,18,Você Pode Até Tentar,/mc-carol/voce-pode-ate-tentar.html,,"você pode até tentar, mais nunca vai conseguir. Eu sou Mc Carol e até posso te assumir... Quando a Fiel mandar embora, a amante não querer mais e a lanchinho te despensar você vai ver correndo atrás. Mas eu vou te dizer: não QUERO FICAR COM você!!  você pode até tentar, mais nunca vai conseguir. Eu sou Mc Carol e até posso te assumir..  você pode até tentar, mais nunca vai conseguir. Eu sou Mc Carol e até posso te assumir...",MC Carol
19,19,Vou Largar de Barriga,/mc-carol/vou-largar-de-barriga.html,,"Ele chegou lá em casa pedindo um copo d'agua Vai rolar uma pentada, vai rolar uma pentada Pediu pra tomar banho se enrolou na minha toalha Vai rolar uma pentada, vai rolar uma pentada Eu não quero nem saber se você tem namorada Vai rolar uma pentada, vai rolar uma pentada Fica me assoviando no portão de madrugada Vai rolar uma pentada, vai rolar uma pentada  A missão vai ser cumprida Vou largar de barriga, vou largar de barriga Pra dar de mini-saia e de calça comprida Vou largar de barriga, vou largar de barriga  Te meto atras das grades, eu destruo sua vida Se largar de barriga, se largar de barriga Eu vou na Maria da Penha, vou no batalhão Não adianta tu fugir, tu vai pagar pensão Tu vai ter que trabalhar no PAC noite e dia Se largar de barriga, se largar de barriga  Vai dormir na minha casa, vai comer da minha comida, pô Vou largar de barriga, vou largar de barriga  Eu não moro na tua casa, nem como da sua comida Vou te processar botar seu nome na justiça Vou chamar o advogado, te acuso de agressão Conto umas historinhas pra te ver no camburão Conto mentira pros meus pais pra conseguir tudo o que eu quero Roubei o seu caráter, te joguei no inferno Estourei a camisinha sou esperta pra caralho Ganhei na justiça, te dei golpe de estado  E e fodeu Que a missão vai ser cumprida Vou largar de barriga, vou largar de barriga A comida que eu te dou é ovo ou linguiça Vou largar de barriga, vou largar de barriga  Você me engravidou, pra mim tá tudo bem Agora eu vou tirar tudo o que você tem  E a missão vai ser cumprida Vou largar de barriga, vou largar de barriga Com as pernas ""esculhaçadas"" e a perereca toda fodida Vou largar de barriga, vou largar de barriga",MC Carol
20,20,Vou Te Ensinar (Com Karol Ka),/mc-carol/vou-te-ensinar-com-karol-ka.html,,"[mc carol]  Vamos dançar, vamos dançar  [karol ka]  Garota chega pro lado Que hoje eu vou quebrar Agora que eu sou funkeira Vai ter que aguentar O baile tá começando O bagulho vai esquentar Sobe, desce Vem e vai Vou te ensinar como é que faz Ê ô  Alô carol?  [mc carol] É a carol de niterói Tô na linha karol ka Tu sabe que eu sou casada Mas eu vou te acompanhar tô chegando ai Não vou demorar Hoje eu vou curtir Hoje eu vou zoar Karol ka vamos dançar Vamos dançar  [karol ka] E aí carol, me diz o que que eu faço tô com uma dor Tá tudo enrolado Me apaixonei, pensei que era pra sempre Mas me enganei Então bola pra frente  [mc carol] Meu marido vacilou Também vou vacilar Vou botar pra ferver Hoje vou embrasar Vou descer até o chão Vou descer, vou provocar Não quero nem saber tô sem hora pra voltar Vamos dançar, vamos dançar Não quero nem saber tô sem hora pra voltar  [karol ka] Garota chega pro lado Que hoje eu vou quebrar Agora que eu sou funkeira Vai ter que aguentar O baile tá começando O bagulho vai esquentar Sobe, desce Vem e vai Vou te ensinar como é que faz Ê ô  Alô carol?  [mc carol] Meu marido vacilou Também vou vacilar Vou botar pra ferver Hoje vou embrasar Vou descer até o chão Vou dançar, vou provocar Não quero nem saber tô sem hora pra voltar Vamos dançar, vamos dançar Karol ka Vamos dançar  [karol ka] Garota chega pro lado Que hoje eu vou quebrar Agora que eu sou funkeira Vai ter que aguentar O baile tá começando O bagulho vai esquentar Sobe, desce Vem e vai Vou te ensinar como é que faz Ê ô  [mc carol] Vou descer até o chão Vou dançar vou provocar Vou provocar",MC Carol
