,Nome da Música,link,album,letra,artista
10,Ainda Lembro (part. Ed Motta),/marisa-monte/ainda-lembro.html,Barulhinho Bom: Uma Viagem Musical,"Ainda lembro o que passou eu você em qualquer lugar dizendo ""onde você for eu vou"" e quando eu perguntei ouvi você dizer que eu era tudo o que você sempre quis mesmo triste eu estava feliz e acabei acreditando em ilusões eu nem pensava em ter que esquecer você agora vem você dizer ""amor, eu errei com você e só assim pude entender que o grande mal que eu fiz foi a mim mesmo"" vem você dizer ""amor, eu não pude evitar"" e eu te dizendo liga o som e apaga a luz",Marisa Monte
11,Alta Noite,/marisa-monte/alta-noite.html,Coleção,"Alta noite já se ia ninguém na estrada andava No caminho que ninguém caminha Alta noite já se ia Ninguém com os pés na água  Nenhuma pessoa sozinha Ia Nenhuma pessoa vinha Nem a manhãzinha Nem a madrugada  Nem a estrela-guia, nem a estrela-d'alva Alta noite já se ia ninguém na estrada andava No caminho que ninguém caminha alta noite já se ia Ninguém com os pés na água  Nem a estrela-guia, nem a estrela-d'alva Alta noite já se ia ninguém na estrada andava No caminho que ninguém caminha alta noite já se ia Ninguém com os pés na água  Nenhuma pessoa sozinha Ia Nenhuma pessoa vinha Nem a manhãzinha  Nem a estrela-guia, nem a estrela-d'alva Alta noite já se ia ninguém na estrada andava No caminho que ninguém caminha alta noite já se ia Ninguém com os pés na água  Nenhuma pessoa sozinha ia Nenhuma pessoa vinha Nem a manhãzinha, nem a madrugada  Nem a estrela-guia, nem a estrela-d'alva Alta noite já se ia ninguém na estrada andava No caminho que ninguém caminha alta noite já se ia Ninguém com os pés na água  Nenhuma pessoa sozinha ia Nenhuma pessoa vinha Nem a manhãzinha, nem a madrugada  Nem a estrela-guia, nem a estrela-d'alva Alta noite já se ia ninguém na estrada andava No caminho que ninguém caminha alta noite já se ia Ninguém com os pés na água",Marisa Monte
12,Amar Alguém,/marisa-monte/amar-alguem.html,O Que Você Quer Saber De Verdade,"Amar alguém só pode fazer bem Não há como fazer mal a ninguém Mesmo quando existe um outro alguém Mesmo quando isso não convém  Amar alguém e outro alguém também É coisa que acontece sem razão Embora soma, causa e divisão Amar alguém só pode fazer bem  Amar alguém só pode fazer bem Amar alguém só pode fazer bem Amar alguém só pode fazer bem Amar alguém  Amar alguém não tem explicação Não há como conter o furacão Amores vão embora Amores vêm Não se decide amar e nem a quem Amar alguém só pode fazer bem Seja só uma pessoa ou um harém Se não existe algoz e nem refém Amar alguém e outro alguém também  Amar alguém só pode fazer bem Amar alguém só pode fazer bem Amar alguém só pode fazer bem Amar alguém só pode fazer bem Amar alguém   Amar alguém só pode fazer bem Amar alguém só pode fazer bem Amar alguém só pode fazer bem Amar alguém",Marisa Monte
13,Amor I Love You,/marisa-monte/amor-i-love-you.html,"Memórias, Crônicas e Declaraçoes de Amor",Deixa eu dizer que te amo Deixa eu pensar em você. Isso me acalma Me acolhe a alma Isso me ajuda a viver  Hoje contei pras paredes Coisas do meu coração Passeei no tempo Caminhei nas horas Mais do que passo a paixão É um espelho sem razão Quer amor fique aqui?  Deixa eu dizer que te amo Deixa eu gostar de você Isso me acalma Me acolhe a alma Isso me ajuda a viver  Hoje contei pras paredes Coisas do meu coração Passeei no tempo Caminhei nas horas Mais do que passo a paixão É um espelho sem razão Quer amor fique aqui?  Meu peito agora dispara Vivo em constante alegria É o amor que está aqui  Amor I love you Amor I love you Amor I love you Amor I love you(bis)  Tinha suspirado Tinha beijado o papel devotamente Era a primeira vez que lhe escreviam aquelas sentimentalidades E o seu orgulho dilatava-se ao calor amoroso que saia delas Como um corpo ressequido que se estira num banho tépido Sentia um acréscimo de estima por si mesma! E parecia-lhe que entrava enfim numa existência superiormente interessante... Onde cada hora tinha seu intuito diferente Cada passo conduzia um êxtase... E a alma se cobria de um luxo radioso de sensações...  Amor I love you Amor I love you Amor I love you Amor I love you(bis),Marisa Monte
14,Ando Meio Desligado,/marisa-monte/ando-meio-desligado.html,MM,"Ando meio desligado Eu nem sinto meus pés no chão Olho, e não vejo nada Eu só penso, se você me quer  Eu não vejo a hora de lhe dizer Aquilo tudo que eu decorei E depois do beijo que eu já sonhei Você vai sentir, mas por favor Não leve a mal Eu só quero que você me queira Não me leve a mal Eu só penso que você me queira",Marisa Monte
15,Anjo da Guarda,/marisa-monte/anjo-da-guarda.html,Regravação de Tribalistas,Escureceu O sol baixou Anjo da guarda Cantarolou Nana neném Nana neném Cacheadinho Anjinho  É de manhã Sob o sol Cada gota de orvalho A secar É suor É suor de trabalho  O estudante O trabalhador Sente em deixar O cobertor Pega a marmita Ronca o motor Leva a beleza Pra vida  É de manhã Sai da cama Havaiana no pé Apostila Na mochila E na mão um café,Marisa Monte
16,Ao Meu Redor,/marisa-monte/ao-meu-redor.html,Barulhinho Bom: Uma Viagem Musical,"Ao meu redor está deserto você não está por perto e ainda está tão perto Dentro dessa geladeira, dentro da despensa e do fogão Dentro da gaveta, dentro da garagem e no porão Em todos os armários, nos vestidos, nos remédios, num botão Por dentro das paredes, pelos quartos, pelos prédios e no portão Até no que eu não enxergo Até mesmo quando eu não quero Eu não quero Por Dentro da camisa, no sapato, no cigarro na revista, na piscina, na janela, no carro ao lado No som do rádio eu ouço a mesma coisa o tempo inteiro, em fevereiro, em janeiro, em dezembro Ao meu redor está deserto Tudo que está por perto Ainda está tão perto",Marisa Monte
17,Aquela,/marisa-monte/aquela.html,Infinito Particular,"Na noite prata, a estrada plana A lua brilha nua e branda No alto vai, derrama a luz do céu À tarde, cruzo a linha urbana Um porto, um canto, um novo som Eu sei levar a vida assim de tom em tom Na onda clara, estrada afora O meu destino é agora Aonde me levar a minha voz, eu vou Lá, lalalaiá, laiá Lá, lalalaiá, laiá Lá, lalalaiá, laiá Lá, lalalaiá",Marisa Monte
18,Aquela Velha Canção,/marisa-monte/aquela-velha-cancao.html,O Que Você Quer Saber De Verdade,"Quando eu te ligar cantando aquela velha canção Não diga que estou enganado, estou resolvido Vou dar férias pro meu coração Confesso que fiquei magoado, eu fiquei zangado, Mas agora passou, esqueci Não vou te mandar pro inferno porque eu não quero E porque fica muito longe daqui  Quando eu te ligar cantando aquela canção Pra te desnortear, te ferir com carinho É pra fazer doer no seu ouvido - A nota melhor do nosso amor  Quando eu te ligar cantando aquela canção Não diga que não sente nada É pra fazer doer no seu ouvido - A nota melhor do nosso amor  Alô, a lua, alô, amor. Alô, a lua, alô, a lua, amor (2x)",Marisa Monte
19,Arrepio,/marisa-monte/arrepio.html,Barulhinho Bom: Uma Viagem Musical,"Arrepio, arrepio, arrepio de pancada Pancada, pancada, pancada de arrepio",Marisa Monte
20,Até Parece,/marisa-monte/ate-parece.html,Infinito Particular,Até parece Que não lembra Que não sabe O que passou Não faz assim!...  Não faz de conta Que não pensa Em outra chance Prá nós dois Olha prá mim...  Não me torture Não simule Não me cure De você...  Deixa o amanhã dizer! Deixa o amanhã dizer!...,Marisa Monte
21,Balança Pema,/marisa-monte/balanca-pema.html,"Verde, Amarelo, Anil, Cor-De-Rosa e Carvão","Balança Pema  Don don dim, din din dom, dom dom dim (ou ou)  Balança pema Balança sem parar Arrasta as sandálias Arrasta até gastar (2x)  Quando você sambalança Sambalança meu coração também Ele sambalança certinho Juntinho com o seu vai e vem  Balança pema Balança sem parar Arrasta as sandálias Arrasta até gastar  Se você jurar Me ensinar sambalançar assim Eu lhe darei uma sandália de prata Para você sambalançar só pra mim  Balança pema Balança sem parar Arrasta as sandálias Arrasta até gastar (2x)  Dom dom dim, dim dim dom, dom dom din (ou ou)  Pois quando você sambalança Sambalança meu coração também Ele sambalança certinho Juntinho com o seu vai e vem, (ou ou).  Balança pema Balança sem parar Arrasta as sandálias (contigo bem bom) Arrasta até gastar (2x)  Balança pema Balança sem parar Arrasta as sandálias (contigo bem bom) Arrasta até gastar (2x)  Dom dom dim, dim dim dom, dom dom dim, (ou ou)",Marisa Monte
22,Beija Eu,/marisa-monte/beija-eu.html,Barulhinho Bom: Uma Viagem Musical,"Seja eu, Seja eu, Deixa que eu seja eu. E aceita O que seja seu. Então deita e aceita eu.  Molha eu, Seca eu, Deixa que eu seja o céu E receba O que seja seu. Anoiteça e amanheça eu.  Beija eu, Beija eu, Beija eu, me beija. Deixa O que seja ser  Então beba e receba Meu corpo no seu corpo, Eu no meu corpo, Deixa, Eu me deixo Anoiteça e amanheça",Marisa Monte
23,Bem Aqui,/marisa-monte/bem-aqui.html,O Que Você Quer Saber De Verdade,Pra que ficar Mas pra onde ir Todo o lugar tem O seu aqui  Se gente vai e vem Se a gente nem Sabe onde está bem Está bem aqui,Marisa Monte
24,Bem Leve,/marisa-monte/bem-leve.html,Barulhinho Bom: Uma Viagem Musical,"Bem leve leve, releve, Quem pouse a pele em cima de madeira Beira beira, quem dera, mera mera, cadeira Mas breve breve, revele Vele, vele quem pese, dos pés à caveira Dali da beira uma palavra cai no chão, caixão Dessa maneira, Uma palavra de madeira em cada mão, Imbuia, Cerejeira  Bem leve leve, releve, Quem pouse a pele em cima de madeira Beira beira, quem dera, mera mera, cadeira Mas breve breve, revele Vele vele quem pese dos pés à caveira  Jacarandá, Peroba, Pinho, Jatobá, Cabreúva, Garapera  Uma palavra de madeira cai no chão Caixão, dessa maneira  Bem leve leve, releve, Quem pouse a pele em cima de madeira Beira beira, quem dera, mera mera, cadeira Mas breve breve, revele Vele, vele quem pese, dos pés à caveira Dali da beira uma palavra cai no chão, caixão Dessa maneira, Uma palavra de madeira em cada mão, Imbuia, Cerejeira  Jacarandá, Peroba, Pinho, Jatobá, Cabreúva, Garapera  Uma palavra de madeira cai no chão Caixão, dessa maneira",Marisa Monte
25,Bem Que Se Quis,/marisa-monte/bem-que-se-quis.html,MM,"Bem que se quis depois de tudo ainda ser feliz mas já não há caminhos pra voltar. E o que é que a vida fez da nossa vida? O que é que a gente não faz por amor?  Mas tanto faz, já me esqueci de te esquecer porque o teu desejo é o meu melhor prazer e o meu destino é querer sempre mais, a minha estrada corre pro seu mar  Agora vem pra perto vem vem depressa vem sem fim, dentro de mim que eu quero sentir o teu corpo pesando sobre o meu, vem meu amor vem pra mim, me abraça devagar, me beija e me faz esquecer   Bem que se quis depois de tudo ainda ser feliz mas já não há caminhos pra voltar. E o que é que a vida fez da nossa vida? O que é que a gente não faz por amor?  Mas tanto faz, já me esqueci de te esquecer porque o teu desejo é o meu melhor prazer e o meu destino é querer sempre mais, a minha estrada corre pro seu mar  Agora vem pra perto vem vem depressa vem sem fim, dentro de mim que eu quero sentir o teu corpo pesando sobre o meu, vem meu amor vem pra mim, me abraça devagar, me beija e me faz esquecer...  Bem que se quis....",Marisa Monte
26,"Bess, You Is My Woman Now!",/marisa-monte/bess-you-is-my-woman-now.html,MM,"PORGY Bless, you is my woman now! You is! You is! An' you mus! laugh an' sing an' dance for two instead of one Want no wrinkle on yo!  brow, no- how. Because de sorrow of the past is all done done Oh, Bess, my Bess, de real happiness is jes' begun!  BESS Porgy, I's yo' woman now! I is, I is! An' I ain' never goin' nowhere less you shares de fun Dere's no wrinkle on my brow, no-how But I ain' goin'! You hear me sayin' If you-ain' goin' , wid you l'm stayin'. Porgy, I's yo' woman now, I's yours forever Mornin' time an' evenin' time an' summer time an' winter time  PORGY Mornin' time an' evenin' time an' summer time an' winter time Bess, you got yo' man! Bess, you is my woman now an' forever Dis life is jes' begun Bess we two is one now an' forever Oh Bess, don' min' dose women You got yo' Porgy you loves yo' Porgy I knows you means it, I seen it in yo' eyes, Bess We'll go swingin' through de years a-singin' Hmmm... Momin' time an' evenin' time an' summer time an' winter time My Bess, My Bess, from dis minute I'm tellin' you I keep dis vow, oh my Bessie We's happy now We is one now  BESS Porgy, I's yo woman now! I is! I is! An' I ain' never goin' nowhere' less you shares the fun Dere's no wrinkle on my brown, no-how But I ain'goin'! You hear me sayin' If You ain goin', wid you I'm stayn'. Porgy I's yo woman now! I's yours forever Mornin'time an' evenin'timean' summer time an' winter time Oh my Porgy, my man Porgy From dis minute I'm tellin' you, I keep dis vow, Porgy I's yo' woman now",Marisa Monte
27,Blanco,/marisa-monte/blanco.html,Barulhinho Bom: Uma Viagem Musical,Me vejo no que vejo Como entrar por meus olhos Em um olho mais límpido Me olha o que eu olho É minha criação Isto que vejo Perceber é conceber Águas de pensamentos Sou a criatura do que vejo.,Marisa Monte
28,Borboleta,/marisa-monte/borboleta.html,Mais,huuuu.....  Borboleta pequenina que vem para nos saudar Venha ver cantar o hino que hoje é noite de Natal  Eu sou uma borboleta pequenina e feiticeira Ando no meio das flores procurando quem me queira  Borboleta pequenina saia fora do rosal Venha ver quanta alegria que hoje é noite de Natal  Borboleta pequenina venha para o meu cordão Venha ver cantar o hino que hoje é noite de Natal  Eu sou uma borboleta pequenina e feiticeira Ando no meio das flores procurando quem me queira  Borboleta pequenina saia fora do rosal Venha ver quanta alegria que hoje é noite de Natal,Marisa Monte
29,Cama,/marisa-monte/cama.html,Coleção,"Cama, garganta e água Gargalo e lábios Batom e língua Flama, lama Como quem ama Uma palavra  Beijo e gengiva Ar e saliva Riso e comida Chama, clama Como quem ama Uma palavra",Marisa Monte
