,Nome da Música,link,album,letra,artista
10,Cicatriz,/manu-gavassi/cicatriz.html,Clichê Adolescente,"Só segure a minha mão um pouco E feche a porta quando sair Só me deixe aqui, porque eu cansei de tentar entender Eu queria que suas palavras pudessem de fato mudar O que eu não consigo apagar, o que virou a minha cicatriz Não sei, quando foi que perdemos a cor Quando foi que acabou  Pedi ao tempo pra te ter pra mim Mas não sei se vai adiantar Há tanta coisa por falar; parei o tempo só pra esquecer O vazio que eu sei está por vir Como eu posso sentir saudade com você aqui  Só afaste o cabelo do meu rosto quando Eu começar a chorar Não quero mais conversar, eu só quero te lembrar assim  Quem me dera que o seu abraço pudesse de fato mudar O que eu não consigo apagar, o que virou a minha cicatriz Não sei, quando foi que perdemos a cor Quando foi que acabou  Pedi ao tempo pra te ter pra mim Mas não sei se vai adiantar Há tanta coisa por falar; parei o tempo só pra esquecer O vazio que eu sei está por vir Como eu posso sentir saudade  Depois de tanto tempo é difícil te ver Difícil respirar o mesmo ar que você Eu nunca mais vou esquecer, eu nunca mais vou esquecer Você me olha chorando e segura a minha mão Voou até aqui pra me pedir perdão Eu não tenho nada a dizer, é a última vez que vou ter ver  Pedi ao tempo pra te ter pra mim, mas não sei se vai adiantar Há tanta coisa por falar; parei o tempo só pra esquecer O vazio que eu sei está por vir Como eu posso sentir saudade com você... aqui  Só segure a minha mão um pouco E feche a porta quando sair Só me deixe aqui, porque eu cansei de tentar entender",Manu Gavassi
11,Clichê Adolescente,/manu-gavassi/cliche-adolescente.html,Clichê Adolescente,"Me diz que eu sou linda para eu não acreditar de novo Explica da saudade pra falar que você diz isso pra todas Me abraça forte pra eu não ir Enquanto eu finjo resistir e você ri da minha atuação  Imite meu sotaque até eu rir e te pedir pra parar Cante uma música que eu não estou acostumada a escutar Fale tudo que sentir e se por medo eu sumir Prometo explicar com essa canção  Não vou dizer que não mexeu comigo Ouvir você falar é um perigo O que eu mais quero é acreditar Eu tento fugir mas o mundo conspira Se tudo que você falou for mentira Então minta outra vez pra mim  Abra um sorriso só pra eu te perguntar o motivo Mas pense muito bem se você deve dividir isso comigo Me abrace forte pra eu não ir Eu nem tento resistir e você ri da minha situação  Me conte do passado enquanto tento te decifrar Me fale dos seus sonhos mais malucos E dos seus planos de revolucionar E por um segundo só você e eu no mundo Nós dois e essa simples canção  Não vou dizer que não mexeu comigo Ouvir você falar é um perigo O que eu mais quero é acreditar Eu tento fugir mas o mundo conspira Se tudo que você falou for mentira Então minta outra vez  Chega mais perto eu vou te mostrar O nosso beijo faz tudo melhorar Então não vai embora fique um pouco mais Não pense em nada deixe tudo para trás Eu sei provavelmente vai soar como um clichê adolescente Mas pensando bem que mal tem  Não vou dizer que não mexeu comigo, não Estou começando a acreditar Eu tento fugir mas o mundo conspira Se tudo que você falou for mentira Então minta outra vez pra mim Pra mim, pra mim Então minta outra vez pra mim",Manu Gavassi
12,Conto de Fadas,/manu-gavassi/conto-de-fadas.html,Clichê Adolescente,"Já é tarde e eu aqui Prolongando o fim Abro a porta e vou embora Torcendo pra correr atrás de mim  Era pra sempre, terminou Alguns dias atrás Então por que você complicou Me pedindo para ficar um pouco mais?  A nossa história acabou, eu sei Mas das nossas lágrimas eu sou refém Eu já aprendi o certo a fazer Mas meu coração não consegue entender  Como eu posso ir embora Com você me pedindo pra ficar ? Como eu posso esquecer Se só de olhar pra você me falta o ar? Me solte agora já chegou o fim Não tem conto de fadas dessa vez pra mim Eu não sou a princesa que você sonhou, Não tem final feliz pra nós dois, amor  (Pára, vai... Tem que parar de achar que sua vida é um conto de fadas. Você tá louca!)  Já nem reconheço mais Olhando bem de perto me assustei Você gritava até eu chorar Me fazendo acreditar que eu errei (Hã? Eu?) Era pra sempre até o fim Mas esqueceram de avisar Que o pra sempre acaba sim É só você parar de se importar  A nossa história acabou, eu sei Mas das nossas lágrimas eu sou refém Eu já aprendi o certo a fazer Mas meu coração não consegue entender  Como eu posso ir embora Com você me pedindo pra ficar? Como eu posso esquecer Se só de olhar pra você me falta o ar? Me solte agora já chegou o fim Não tem conto de fadas dessa vez pra mim Eu não sou a princesa que você sonhou Não tem final feliz pra nós dois, amor  O pôr do sol na barra já vem Mas eu não vou cantar com você, meu bem Se eu chorar você não vai estar aqui E eu nunca mais vou te ver sorrir  Eu escrevi no seu coração Mas você esqueceu nossa canção Eu me lembro do mesmo jeito Do amanhecer até quando eu me deito  Como eu posso ir embora Com você me pedindo pra ficar? Como eu posso esquecer Se só de olhar pra você me falta o ar? Me solte agora já chegou o fim Não tem conto de fadas dessa vez pra mim Eu não sou a princesa que você sonhou Não tem final feliz pra nós dois, amor  Então me solte agora já chegou o fim Não tem conto de fadas dessa vez pra mim Eu não sou a princesa que você sonhou Não tem final feliz pra nós dois, amor.",Manu Gavassi
13,Cute But Psycho,/manu-gavassi/cute-but-psycho.html,CUTE BUT PSYCHO EP,"Você não é o meu tipo mas eu quero tentar Porque o meu tipo não dá certo então eu vou variar Se você tá com medo, tudo bem, eu começo Um tanquinho tipo esse, eu nunca tive nem acesso Não se engane com meu tipo que eu vou avisar Que eu sou muito girl boss até me apaixonar Se você não entendeu, tudo bem, eu explico Quando a gente terminar você não é meu amigo  Esse seu amor livre acaba comigo Eu sou uma control freak O que eu quero eu consigo Esse seu amor livre dá água na boca Amor, eu não sou assim (Tô meio estranha, meio louca)  Eu já nem sei mais o que fazer Dizem que eu sou difícil de entender Eu nem sei mais o que dizer Eu sei que eu sou difícil de entender Cute but psycho Cute but psycho Cute but psycho Cute but  Você não é o meu tipo mas eu vou arriscar Porque o meu tipo é cada vez mais raro de encontrar Se você falar merda, paciência, eu entendo Mas se fechar a boca é melhor até aguento Não se engane com meu tipo que eu vou avisar Que eu sou muito girl boss até me enganar Se você não entendeu, tudo bem, eu explico Sempre atraio quem não tem nada a ver com isso  Esse seu amor livre acaba comigo Eu sou uma control freak O que eu quero eu consigo Esse seu amor livre dá água na boca Amor, eu não sou assim Tô meio estranha, meio louca  Eu já nem sei mais o que fazer Dizem que eu sou difícil de entender Eu nem sei mais o que dizer Eu sei que eu sou difícil de entender Cute but psycho (cute but psycho) Cute but psycho Cute but psycho (psycho) Cute but psycho  Eu já nem sei mais o que fazer Dizem que eu sou difícil de entender Eu nem sei mais o que dizer Eu sei que eu sou difícil de entender Cute but psycho (cute!) Cute but psycho Cute but psycho (psycho) Cute but psycho",Manu Gavassi
14,Deixar Pra Lá,/manu-gavassi/deixar-pra-la.html,Manu Gavassi,Hoje eu acordei com uma vontade de deixar pra lá todos os problemas que inventei Ligar pra todas minhas amigas pra gente pensar em alguma coisa pra fazer  O telefone tá tocando e eu não sei o que vestir Minhas amigas estão chegando a gente vai divertir Eu não me importo com o que pode acontecer  Tudo o que eu sei é que a gente vai curtir e vai dançar a noite inteira sem se cansar Por que essa festa não tem hora pra acabar O som aumenta e a galera inteira grita e eu tô usando a minha bota favorita Daqui pra frente eu não quero nem pensar... Eu vou deixar pra lá!  Já tá todo mundo começando a chegar e a gente naquela animação Mas na verdade tudo o que eu consigo ouvir são os clipes na televisão A campanhia tá tocando e eu corro pra atender Eu não sei o que eu faço se minha mãe aparecer mas agora não tem mais o que fazer  Tudo o que eu sei é que a gente vai curtir e vai dançar a noite inteira sem se cansar Por que essa festa não tem hora pra acabar O som aumenta e a galera inteira grita e eu tô usando a minha bota favorita Daqui pra frente eu não quero nem pensar... Eu vou deixar pra lá!  Tudo o que eu sei é que a gente vai curtir e vai dançar a noite inteira sem se cansar Por que essa festa não tem hora pra acabar O som aumenta e a galera inteira grita e eu tô usando a minha bota favorita Daqui pra frente eu não quero nem pensar... Eu vou deixar pra lá!,Manu Gavassi
15,Direção,/manu-gavassi/direcao.html,Vício - EP,"Eu já nem durmo mais, não Só fecho os olhos e penso em você Só fecho os olhos e tento entender O que me trouxe aqui  Sei que te amo mais, mais Bem mais do que eu te falei há um mês E se eu não falo mais dessa vez É porque finalmente entendi  Eu e você, sem direção Me dê a mão e eu me perco mais Eu e você, sem direção Não solte a minha mão jamais  Eu já nem durmo mais, não Não sei se eu devo fugir de você Se agora é certo ou errado dizer Que eu te quero aqui  Sei que te amo mais, mais, mais Bem mais do que eu deveria, eu sei E se eu não quero mais dessa vez É porque finalmente entendi  Eu e você, sem direção Me dê a mão e eu me perco mais Eu e você, sem direção Não solte a minha mão jamais  Eu e você, sem direção Me dê a mão e eu me perco mais Eu e você, sem direção Não solte a minha mão  E você pode me guardar Em cada foto, em cada olhar Em cada vez que eu não ligar Porque me dói ouvir sua voz  E agora o tempo vai passar Talvez não exista nada pra falar Se por acaso um dia encontrar O que perdeu eu vou estar aqui  Eu e você, sem direção Me dê a mão e eu me perco mais Eu e você, sem direção Não solte a minha mão jamais  Eu e você, sem direção Me dê a mão e eu me perco mais Eu e você, sem direção Não solte a minha mão jamais  Eu e você, sem direção Me dê a mão e eu me perco mais Eu e você, sem direção Não solte a minha mão... jamais Jamais, jamais (não solte a minha mão)  Eu e você sem direção Não solte a minha mão jamais",Manu Gavassi
16,Entrei pra faculdade com ENEM,/manu-gavassi/entrei-pra-faculdade-com-enem.html,,"Tô bem, tô zen entrei pra faculdade com Enem Aluno dedicado, tá despreocupado tem vaga no SISU, Sistema Unificado A faculdade é bacana, mas você tá sem grana Com as bolsas do PROUNI, você garante o diploma Aluno nota dez, conta com FIES Financiamento Estudantil, sem se enrolar com os papéis Tô bem, tô zen entrei pra faculdade com Enem Uma porta que abre outra porta, outra porta que abre outras portas Esse futuro já é meu também",Manu Gavassi
17,Esse Amor Tão Errado,/manu-gavassi/esse-amor-tao-errado.html,,"Não me diga o que eu quero escutar Dessa vez Por muito tempo eu brinquei de ignorar O que você fez, o que você fez? Me roubou de mim Me deixou assim Implorando por pedaços desse nosso amor Que é tão errado  Não precisa mais provar Me machuca ver você tentar Suas desculpas eu já decorei Não ficou mais fácil pra mim  Não precisa mais dizer Que eu nunca mais vou esquecer Porque talvez já tenha dado a nossa hora Eu vou juntar nossos refrões e vou embora  Não me diga o que eu quero escutar Dessa vez Por muito tempo eu brinquei de ignorar O que você fez, o que você fez? Me roubou de mim Me deixou assim Implorando por pedaços desse nosso amor Que é tão errado  Não precisa mais provar Me machuca ver você tentar Suas desculpas eu já decorei Não ficou mais fácil pra mim  Não precisa mais dizer Que eu nunca mais vou esquecer Porque talvez já tenha dado a nossa hora Eu vou juntar nossos refrões e vou embora  Não precisa mais provar Me machuca ver você tentar Suas desculpas eu já decorei Não ficou mais fácil pra mim  Não precisa mais dizer Que eu nunca mais vou esquecer Porque talvez já tenha dado a nossa hora Eu vou juntar nossos refrões e vou embora  Não precisa mais provar Me machuca ver você tentar Suas desculpas eu já decorei Não ficou mais fácil pra mim  Não precisa mais dizer Que eu nunca mais vou esquecer Porque talvez já tenha dado a nossa hora Eu vou juntar nossos refrões e vou embora",Manu Gavassi
18,Eu Amo,/manu-gavassi/eu-amo.html,,"Eu amo quando eu acordo de manhã Com mensagem no meu celular, Eu amo pessoas que me fazem rir E filmes que me fazem chorar,  Eu amo quando ouço uma música Que diz exatamente o que eu sinto, Eu amo gelatina de morango Quando faz sol no domingo,  Eu amo, amo, Pensar na vida antes de dormir, Eu amo, amo Quando decido rápido o que vestir,  Por que você não tenta também, Declare o seu amor pelas pequenas coisas Que te fazem bem!",Manu Gavassi
19,Eu Dou Risada,/manu-gavassi/eu-dou-risada.html,Clichê Adolescente,"Eu espero que você não morra de amores Enquanto se vê pela TV Seria uma pena se você levasse um tombo Desse trono que só você vê  Tome cuidado pra esse cachecol da John John Não enforcar você E eu me sinto tão mal, porque eu sei não é normal Alguém ser tão melhor que todos Quando eu nunca vou ser  E eu dou risada, e eu dou risada E eu dou risada sem saber porque E eu vou embora, eu vou embora Eu vou embora e deixo esse espelho de presente pra você Se ver e aprender Que existe algo muito errado em se ver E se ver, só se ver  Você é tão perfeito E por isso não tem jeito O mundo inteiro quer te namorar Mas garoto não se prenda Ouça e entenda Você nasceu pra não se comportar  Agora está sozinho sem ela e sem carinho Tudo bem ainda tem o instagram pra postar Com esse cabelo jogado E aquele seu papo furado Existem muitas pra te consolar  E eu dou risada, e eu dou risada E eu dou risada sem saber porque E eu vou embora, eu vou embora Eu vou embora e deixo esse espelho de presente pra você Se ver e aprender Que existe algo muito errado em se ver E se ver, só se ver  São Paulo combina com o seu humor As paredes não tem olhos, não existe amor Consigo te ver na Augusta usando uma jaqueta Oscar Freire E assoviando uma canção Assim, assim, alternativa demais para mim Por isso a gente teve um fim Melhor assim, melhor assim  E eu dou risada, e eu dou risada.",Manu Gavassi
