,Nome da Música,link,album,letra,artista
10,3 (manhattan Clique Remix Club),/britney-spears/3-manhattan-clique-remix-club.html,"B In The Mix, The Remixes Vol. 2","1, 2, 3 Not only you and me Got one eighty degrees And I'm caught in between Countin' 1, 2, 3 Peter, Paul &amp; Mary Gettin' down with 3P Everybody loves *** Countin'  (Oh)  Babe, pick a night To come out and play If it's alright What do you say?  Merrier the more Triple fun that way Twister on the floor What do you say?  Are - you in Livin' in sin is the new thing (yeah) Are - you in I am countin'!  1, 2, 3 Not only you and me Got one eighty degrees And I'm caught in between Countin' 1, 2, 3 Peter, Paul &amp; Mary Gettin' down with 3P Everybody loves *** Countin'  1, 2, 3 Not only you and me Got one eighty degrees And I'm caught in between Countin' 1, 2, 3 Peter, Paul &amp; Mary Gettin' down with 3P Everybody loves *** Countin'  Three is a charm Two is not the same I don't see the harm So are you game?  Lets' make a team Make 'em say my name Lovin' the extreme Now are you game?  Are - you in Livin' in sin is the new thing Are - you in I am countin'!  1, 2, 3 Not only you and me Got one eighty degrees And I'm caught in between Countin' 1, 2, 3 Peter, Paul &amp; Mary Gettin' down with 3P Everybody loves *** Countin'  1, 2, 3 Not only you and me Got one eighty degrees And I'm caught in between Countin' 1, 2, 3 Peter, Paul &amp; Mary Gettin' down with 3P Everybody loves *** Countin'  What we do is innocent Just for fun and nothin' meant If you don't like the company Let's just do it you and me You and me... Or three.... Or four.... On the floor!  1, 2, 3 Not only you and me Got one eighty degrees And I'm caught in between Countin' 1, 2, 3 Peter, Paul &amp; Mary Gettin' down with 3P Everybody loves *** Countin'  1, 2, 3 Not only you and me Got one eighty degrees And I'm caught in between Countin' 1, 2, 3 Peter, Paul &amp; Mary Gettin' down with 3P Everybody loves ***  By: Vitor Gomes",Britey Spears
11,911,/britney-spears/911.html,,"9-1-1 9-1-1  Do you taste it Do you feel what I feel I feel it coming and it’s oh so near You got me breathing like an animal I won’t be satisfied until you’re here (9-1-1)  Every little time you touch my thighs I wanna cry Every little touch you take me deeper in my mind Every little thing you do I swear I’m on a ride You got me hypnotized You got me hypnotized (9-1-1)  9-1-1 I’ll call you when I’m feeling lonely 9-1-1 Baby boy come get right on me 9-1-1 Put this fire out, I’m burning Up, up,up 9-1-1  Do you know just what you do to me? What I need ya know it’s criminal Close my eyes and you’re undressing me One step further boy and we will be 9-1-1  Every little time you touch my thighs I wanna cry Every little touch you take me deeper in my mind Every little thing you do I swear I’m on a ride You got me hypnotized You got me hypnotized (9-1-1)  9-1-1 I’ll call you when I’m feeling lonely 9-1-1 Baby boy come get right on me 9-1-1 Put this fire out, I’m burning Up, up,up 9-1-1  Sexing in the attic When ya felt so automatic Felt explosive when ya had it When ya ___ all over me Boy I made it rain Just when I squeezed and made it tight Just so relax, just so don’t you fight Just calm down, feel the freakin heat  9-1-1 9-1-1  Every little time you touch my thighs I wanna cry Every little touch you take me deeper in my mind Every little thing you do I swear I’m on a ride You got me hypnotized You got me hypnotized (9-1-1)  9-1-1 I’ll call you when I’m feeling lonely 9-1-1 Baby boy come get right on me 9-1-1 Put this fire out, I’m burning Up, up,up 9-1-1  9-1-1 9-1-1 9-1-1 9-1-1",Britey Spears
12,Abroad,/britney-spears/abroad.html,,"Let me see your passport Please take off your glasses Gotta get through customs, taxi, baggage You know you still love me, Sicily to the U.K Keep them hands up everywhere follow me I'm about to take you abroad  Show up in your town Second that I'm touchin down Go someplace we've been Every time I'm with my friends Sexy men Whisper foreign in my ear She's so hot You so naughty come on show me what you got  (what you got) looked in the mirror today Thought I had so much to say But now that I'm face to face I feel like runnin away (I need a) Think I just I need a getaway Time for a break a holiday Time that I make my great escape I need it now I need it today I need it today  Don't know where I'm goin but I know I'm outta here Don't know where I'm goin but I know I'm outta here Don't know where I'm goin but I know I'm outta here I'm goin abroad... I'm goin abroad..  I don't speak the language But they know my name here Frequent flier mileage Platinum next year Bonjour in France, keep my head wrapped up in Hermes Tropical destination, get my rest and my relaxation abroad  Show up in your town Second that I'm touchin down Go someplace we've been Every time I'm with my friends Sexy men Whisper foreign in my ear She's so hot You so naughty come on show me what you got What you got  (what you got) looked in the mirror today Thought I had so much to say But now that I'm face to face I feel like runnin away (I need a) think I just I need a getaway (I need a) time for a break a holiday (I need a) time that I make my great escape I need it now I need it today I need it today  Don't know where I'm goin but I know I'm outta here Don't know where I'm goin but I know I'm outta here Don't know where I'm goin but I know I'm outta here I'm goin abroad... I'm goin abroad...  Today I need a change of pace To see some different faces I need to get away I need a break from u (I need a break) I need a break for me (I need a break) Gimme a break from here Somewhere that I can clear my head (I need a break) I'm goin abroad, I'm goin abroad (I need a break) I'm goin abroad, I'm goin abroad  Looked in the mirror today Thought I had so much to say But now that I'm face to face I feel like runnin away (I need a) think I just I need a getaway (I need a) time for a break a holiday (I need a) time that I make my great escape I need it now I need it today I need it today  Don't know where I'm goin but I know I'm outta here",Britey Spears
13,Alien,/britney-spears/alien.html,Britney Jean,"There was a time I was one of a kind Lost in the world out of me myself and I Was lonely then like an alien I tried but I never figured it out Why I always felt like a stranger in a crowd Ooh that was then like an alien  But the stars in the sky look like home Take me home And the light in your eyes lets me know I'm not alone  Not alone, not alone, not alone Not alone, not alone, not alone (I'm never alone) Not alone, not alone, not alone Not alone, not alone, not alone  Crossed through the universe to get where you are Travel the night riding on a shooting star Was lonely then like an alien Had to get used to the world I was on While yet still unsure if I knew where I belong Ooh that was then like an alien  But the stars in the sky look like home Take me home And the light in your eyes lets me know I'm not not alone  Not alone, not alone, not alone Not alone, not alone, not alone (I'm never alone) Not alone, not alone, not alone Not alone, not alone, not alone  But the stars in the sky look like home Take me home And the light in your eyes lets me know I'm not alone  Not alone, not alone, not alone Not alone, not alone, not alone (I'm never alone) Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone",Britey Spears
14,Alien (Country Club Martini Crew Acoustic Remix),/britney-spears/alien-country-club-martini-crew-acoustic-remix.html,,"There was a time I was one of a kind Lost in the world out of me myself and I Was lonely then like an alien I tried but I never figured it out Why I always felt like a stranger in a crowd Ooh that was then like an alien  But the stars in the sky look like home Take me home And the light in your eyes lets me know I'm not alone  Not alone, not alone, not alone Not alone, not alone, not alone (I'm never alone) Not alone, not alone, not alone Not alone, not alone, not alone  Crossed through the universe to get where you are Travel the night riding on a shooting star Was lonely then like an alien Had to get used to the world I was on While yet still unsure if I knew where I belong Ooh that was then like an alien  But the stars in the sky look like home Take me home And the light in your eyes lets me know I'm not not alone  Not alone, not alone, not alone Not alone, not alone, not alone (I'm never alone) Not alone, not alone, not alone Not alone, not alone, not alone  But the stars in the sky look like home Take me home And the light in your eyes lets me know I'm not alone  Not alone, not alone, not alone Not alone, not alone, not alone (I'm never alone) Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone",Britey Spears
15,Alien (Nick & Country Club Martini Crew Remix),/britney-spears/alien-nick-country-club-martini-crew-remix.html,,"There was a time I was one of a kind Lost in the world out of me myself and I Was lonely then like an alien I tried but I never figured it out Why I always felt like a stranger in a crowd Ooh that was then like an alien  But the stars in the sky look like home Take me home And the light in your eyes lets me know I'm not alone  Not alone, not alone, not alone Not alone, not alone, not alone (I'm never alone) Not alone, not alone, not alone Not alone, not alone, not alone  Not alone  Crossed through the universe to get where you are Travel the night riding on a shooting star Was lonely then like an alien Had to get used to the world I was on While yet still unsure if I knew where I belong Ooh that was then like an alien  But the stars in the sky look like home Take me home And the light in your eyes lets me know I'm not not alone  Not alone, not alone, not alone Not alone, not alone, not alone (I'm never alone) Not alone, not alone, not alone Not alone, not alone, not alone  But the stars in the sky look like home Take me home And the light in your eyes lets me know I'm not alone  Not alone, not alone, not alone Not alone, not alone, not alone (I'm never alone) Not alone, not alone, not alone  Na na na na na na na na na",Britey Spears
16,Alien (William Orbit Remix),/britney-spears/alien-william-orbit-remix.html,,"There was a time I was one of a kind Lost in the world out of me myself and I Was lonely then like an alien I tried but I never figured it out Why I always felt like a stranger in a crowd Ooh that was then like an alien  But the stars in the sky look like home Take me home And the light in your eyes lets me know I'm not alone  Not alone, not alone, not alone Not alone, not alone, not alone (I'm never alone) Not alone, not alone Not alone, not alone  Crossed through the universe to get where you are Travel the night riding on a shooting star Was lonely then like an alien Had to get used to the world I was on While yet still unsure if I knew where I belong Ooh that was then like an alien  But the stars in the sky look like home Take me home And the light in your eyes lets me know I'm not alone  Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone (I'm never alone) Not alone, not alone, not alone  Like an alien But the stars in the sky look like home Take me home And the light in your eyes lets me know I'm not alone  Not alone, not alone, not alone Not alone, not alone, not alone (I'm never alone) Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone",Britey Spears
17,All That She Wants,/britney-spears/all-that-she-wants.html,,"All that she wants is another baby She's gone tomorrow, boy All that she wants is another baby, yeah All that she wants is another baby She's gone tomorrow boy All that she wants is another baby, yeah  All that she wants is another baby She's gone tomorrow, boy All that she wants is another baby, yeah All that she wants is another baby She's gone tomorrow boy All that she wants is another baby, yeah  Needed a fight as an excuse To get away from me, you've missed use Sit there make me look guilty You were leaving, anyway but with me You have a career, I can tell I trained you man, oh so well No more boosting your ego Your mom's smokin up my  All that she wants is another baby She's gone tomorrow, boy All that she wants is another baby, yeah All that she wants is another baby She's gone tomorrow boy All that she wants is another baby, yeah  No more chains that you gave me Enough of pain, now I'm craving Something sweet, so delight How do you stand sleeping at night? Silly patterns that I followed You're so I'm being swallowed By the one who she loved They pull you down, you can't see up above Manipulation was his key You screw it in 'cause she was naive We're not perfect we must say That now we've gotta run away  All that she wants is another baby She's gone tomorrow, boy All that she wants is another baby, yeah All that she wants is another baby She's gone tomorrow boy All that she wants is another baby, yeah  All that she wants is another baby She's gone tomorrow, boy All that she wants is another baby, yeah All that she wants is another baby She's gone tomorrow boy All that she wants is another baby, yeah  All that she wants is another baby, yeah",Britey Spears
18,Amnesia,/britney-spears/amnesia.html,Circus,"Oooh  I saw him standin' there In the parkin' lot He asked if I Came here a lot And this is how I responded  I forgot my name I forgot my telephone number If he wanna see me He don't even know it I forgot my address Damsel in distress I forgot my boyfriend Was the one that had bought me this rock  I get amnesia When I'm standin' next to you-ou-ou He's been with me for several years I know this much is true Didn't know it was over 'Til you came on over And told me that you just, just can't Forget about me  I talk to my girls I can talk to my girls like crazy To anyone, I speak my mind I tell 'em off, it don't phase me I'm not lazy But boy, lately When I see you, I stu-utter Words just slip away like butterflies  I saw you standin' there In the VIP on Friday We conversate up in my Fantasies like, every day But I'm a dud Whenever you approach Like yesterday when you just Came to say hello  I forgot my name I forgot my telephone number If he wanna see me He don't even know it I forgot my address Damsel in distress I forgot my boyfriend Was the one that had bought me this rock I get amnesia When I'm standin' next to you-ou-ou He's been with me for several years I know this much is true Didn't know it was over 'Til you came on over And told me that you just, just can't Forget about me  Me Me This is how I do  I talk to most guys I can talk to most guys like crazy To anyone, I'll speak my mind I tell 'em off, it don't phase me But you shake me Boy, you make me St-o-o-o-op and stutter When we touch, I melt like butter  I saw you standin' there In the VIP on Saturday Now that I know you got a Thing for me, I should be straight Not the kinda girl who'll just let Any guy get close All I can say is I'mma tell my guy He should just effin' go  I forgot my name And forgot my telephone number If he wanna see me He don't even know I forgot my address Damsel in distress I forgot my boyfriend Was the one that had bought me this rock  I get amnesia When I'm standin' next to you He's been with me for several years I know this much is true Didn't know it was over 'Til you came on over And told me that you just, just can't Forget about me  Me Me This is how I do  (By Rodrigo Netto)",Britey Spears
19,And Then We Kiss,/britney-spears/and-then-we-kiss.html,B in the Mix: the Remixes,Verso 1: Lyin alone Touching my skin I'm falling under  A girl like me And I can't hold it in Makes me wonder  Is this for real It's not what it seems Like an angel  I'm runnin now My feet up the cloud (Oh)  Refrão: Take me touch me Won't you hold me close  And then we kiss And the love comes alive on my lips I feel the rush Comin over me over me  And when we touch This moment where everything's still I close my eyes And then we kiss  Verso 2: Feel of your hand As it touches my hair Makes me trumble  Don't ever let go The feelings we share So baby go slow  My heart is ticking fast And my body cries (Yeah Yeah)  I'm wanted to last this burning inside We're getting deeper  Refrão  You're drifting The sun comes up You're fading You seem so far I don't know if I'm awake Open my eyes and then we kiss  Refrão  And then we kiss And then we kiss And when we touch  This moment where everything's still I close my eyes And then we kiss,Britey Spears
